-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2025 in LST
Location: latitude  31.1   longitude 77.17 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 897.65 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M,RH2M,WS2M
2015,1,1,0.0,13.59,40.59,1.48
2015,1,2,3.0,13.08,54.06,1.4
2015,1,3,7.39,11.14,71.78,1.15
2015,1,4,0.1,9.6,63.98,1.85
2015,1,5,0.0,10.24,43.78,2.17
2015,1,6,0.0,12.08,41.79,1.8
2015,1,7,0.0,10.64,45.12,1.81
2015,1,8,0.0,11.54,35.93,1.68
2015,1,9,0.0,11.1,34.97,1.68
2015,1,10,0.0,10.31,32.93,2.14
2015,1,11,0.0,11.47,28.67,2.11
2015,1,12,0.0,12.54,29.63,1.92
2015,1,13,0.04,12.32,35.29,1.34
2015,1,14,7.55,8.07,68.56,1.34
2015,1,15,0.0,9.88,66.09,1.23
2015,1,16,0.0,11.49,54.27,1.5
2015,1,17,0.0,10.93,46.23,1.69
2015,1,18,0.0,10.93,39.49,2.0
2015,1,19,0.0,11.36,37.76,1.61
2015,1,20,0.0,11.07,40.88,1.41
2015,1,21,2.46,10.67,51.3,2.13
2015,1,22,5.92,9.47,80.65,1.91
2015,1,23,0.28,10.29,78.06,1.09
2015,1,24,0.0,11.53,64.34,1.3
2015,1,25,0.0,11.09,54.16,1.44
2015,1,26,1.51,9.97,51.45,1.47
2015,1,27,0.89,8.03,69.02,1.6
2015,1,28,0.0,9.14,57.32,1.33
2015,1,29,0.0,8.39,50.13,1.34
2015,1,30,0.0,8.52,47.62,2.16
2015,1,31,0.0,10.46,38.58,2.02
2015,2,1,0.0,12.33,40.94,1.52
2015,2,2,3.44,12.69,54.96,1.7
2015,2,3,13.17,11.16,71.1,3.05
2015,2,4,0.01,11.99,59.98,1.54
2015,2,5,0.0,12.36,44.68,1.78
2015,2,6,0.0,12.07,43.42,1.35
2015,2,7,0.0,12.56,42.6,1.4
2015,2,8,0.0,13.03,48.19,1.83
2015,2,9,0.0,12.98,52.29,1.76
2015,2,10,0.0,13.15,45.37,1.95
2015,2,11,0.0,13.18,42.84,1.61
2015,2,12,0.0,12.55,40.48,2.19
2015,2,13,0.0,13.54,38.59,2.03
2015,2,14,0.0,16.67,42.93,2.05
2015,2,15,0.0,16.93,45.18,1.79
2015,2,16,1.83,16.65,47.88,1.8
2015,2,17,0.84,17.25,51.37,1.34
2015,2,18,0.17,16.82,50.99,1.52
2015,2,19,0.64,16.01,53.49,1.49
2015,2,20,10.51,16.88,61.68,1.64
2015,2,21,0.0,16.62,54.78,2.42
2015,2,22,0.0,18.27,46.77,2.3
2015,2,23,0.0,19.42,46.06,1.32
2015,2,24,0.14,19.55,45.49,1.14
2015,2,25,7.66,15.6,63.59,3.23
2015,2,26,0.8,13.38,45.26,1.9
2015,2,27,0.31,13.08,35.61,1.74
2015,2,28,0.27,13.78,39.78,1.24
2015,3,1,57.46,11.8,78.84,3.86
2015,3,2,43.23,10.38,91.45,2.5
2015,3,3,6.31,10.6,82.89,1.33
2015,3,4,0.5,10.88,74.89,1.97
2015,3,5,0.73,12.65,67.64,1.52
2015,3,6,0.55,13.25,67.3,1.8
2015,3,7,1.01,14.05,65.62,1.68
2015,3,8,3.38,14.07,73.83,3.28
2015,3,9,4.01,11.83,67.51,1.66
2015,3,10,0.0,14.07,53.73,1.64
2015,3,11,0.0,16.34,47.16,1.44
2015,3,12,0.0,16.64,49.79,1.25
2015,3,13,0.0,17.83,43.55,1.55
